date,videoId,authorId,username,videoLink,contentDescription,hashtags,musicAuthorName,musicTitle,musicId,captions,code_1,fieldNote_1,code_2,fieldNote_2,code_3,fieldNote_3,code_4,fieldNote_4,code_5,fieldNote_5,category,need,fieldnote_need
2023-11-27,7305983258523651361,7235920318165681178,dominiquetravels,https://www.tiktok.com/@7235920318165681178/video/7305983258523651361,"The video showcases a girl breasting in tears in front of the camera, with a caption [you will never find a job that allows you to travel the world] expressing the impossibility of her dreams in a heartfelt way. The following video sequence projects her achieving the goal of riding the scooter with friends somewhere in the tropical climate. This moment encapsulates a powerful message of optimism and the potential for personal success through unwavering dedication and belief in one's capabilities. The lyrics of the song by The Struts, ""Could have been me,"" are used as captions: [Don't wanna live as an untold story] [Rather go out in a blaze of glory][I can't hear you], [I DON'T FEAR YOU].
",#Travel #backpacking #DominiqueTravels #DigitalNomad #solotravel,francescacacciolo,untold story,6735291008394725377,"[you will never find a job that allows you to travel the world] [Don't wanna live as an untold story] [Rather go out in a blaze of glory][I can't hear you], [I DON'T FEAR YOU]",JN-TE,"Directly captures the video's emotional arc from despair to triumph. The narrative showcases a profound personal transformation, illustrating how digital nomadism is not just about travel, but about radical life change and overcoming personal limitations.",JN-PG,"Emphasizes the developmental aspect of the digital nomad journey. The video illustrates personal growth through challenging initial perceptions, breaking through psychological barriers, and ultimately realizing one's potential for unconventional lifestyle design.",DR-VS,Highlights the TikTok medium's power in conveying complex emotional narratives through visual sequences. The contrasting scenes of tearful despair and triumphant tropical adventure create a compelling visual storytelling mechanism that resonates with audience emotions.,TA-DI,"Underscores the platform's role in amplifying digital nomad narratives. The strategic use of hashtags like #DigitalNomad and #Travel enables content discoverability, allowing such transformative stories to reach and inspire a broader audience seeking alternative lifestyle narratives.",,,Pilgrim,Esteem,"The notion of becoming is aligned with the aspirational nature of pilgrimage and the content exhibits the need of change, growth throigh the hardships of finding the remote job and self-actualisation as result of putting through and making the dream comes true."
2023-12-29,7318025143354445061,7065933229908165659,helloelena_,https://www.tiktok.com/@7065933229908165659/video/7318025143354445061,"A solo traveling Filipino woman is dancing, holding a coconut drink. The video's caption, ""when you are deeply in love,"" coupled with pop music playing in the background, suggests a moment of joy and contentment, emphasizing the happiness and freedom associated with solo travel and experiencing new cultures.",#nbsb #nbsbtayo #digitalnomadlife #freelancingph #femalesolotraveler #digitalnomad #digitalnomadlifestyle #nbsb #eldestdaughter,alexa,T I N G I N,7252880551597312773,"[May 2024 be for us delulu hopeless romantic NBSB gurlies 🫶🏽], ['POV: 2024 is for us']",LC-PF,Personal & Spatial Freedom: Emphasizes freedom. Might ignore privileges that enable this lifestyle.,HE-CE,Cultural Experiences: Showcases local culture. Potential for cultural commodification.,TA-AC,Accessibility: Includes accessibility features. Might be tokenistic rather than truly inclusive.,DR-PSC,"The strategic use of trending hashtags (#nbsb, #digitalnomadlife) and the dance format demonstrates sophisticated platform-specific content creation that aligns with TikTok's content preferences",SY-SL,"The tropical setting with the coconut drink serves as a symbolic landscape, representing the freedom and exotic lifestyle associated with the digital nomad journey",Tourist,Esteem,"The hashtags #nbsb (Never Been in a Serious/Steady Relationship) and the caption about ""delulu hopeless romantic"" suggest this is also about personal transformation and finding joy in independence, which strongly aligns with the Tourist-Esteem level's focus on unique experiences and self-discovery."
2023-10-01,7284962451236474144,6767344719871509510,manonrabotot4,https://www.tiktok.com/@6767344719871509510/video/7284962451236474144,Video log showcasing SUP in the lake and telling there are possibility of customizing one's lifestyle in alignment with individual preferences.,#voyage #roadtrip #digitalnomad #pourtoiiiiiiiiiiiiiiiii #entrepreneurlife,rue 🌟,riptide,7279326727074040609,"[""If you died today, your boss would replace you tomorrow. They pay you to do a job, not to delegate your life to them. Stop giving so much emotional energy to these companies & LIVE""], ['LIVE YOUR LIFE!']",ET-PM,"The content powerfully challenges traditional work paradigms, emphasizing that life is more than corporate employment. The message ""If you died today, your boss would replace you tomorrow"" underscores the need to find deeper personal purpose beyond professional roles.",LC-PF,"Visually represented by the SUP scene with mountain surroundings, this code embodies the digital nomad's ultimate aspiration - the freedom to design one's lifestyle and workspace independently of traditional constraints.",JN-PG,"The video narrative encourages viewers to break free from conventional work structures, positioning personal development as a continuous journey of self-improvement and intentional living.",DR-VS,"The scenic lake and mountain backdrop serves as a powerful visual metaphor, communicating the digital nomad lifestyle's core values of adventure, freedom, and self-determination through imagery.",TA-DI,"The use of hashtags like #digitalnomad, #entrepreneurlife, and #voyage ensures the content reaches a targeted audience seeking alternative lifestyle narratives.",Pilgrim,Self-actualization,"The content strongly aligns with the Pilgrim category from the previous analysis function, emphasizing personal growth, self-discovery, and life transformation."
2023-12-08,7310115903788616992,7031870523195163654,howtotravelfulltime,https://www.tiktok.com/@7031870523195163654/video/7310115903788616992,"A British female vlogger addresses the camera from a swimming pool in Bali, contrasting the dreariness and high cost of living in England with her current lifestyle. She reflects on the grueling routine of working shifts in England, where the cycle of returning home merely to sleep before repeating the process feels devoid of actual living. She poses the question, ""Where is the living?"" to highlight the lack of fulfillment and quality of life in her past routine, emphasizing her search for a more meaningful and enjoyable existence.",#digitalnomad,Casey ☀️ Content Creator 🌴✈️,original sound,7041298260215991045,"['Why I left the UK 🇬🇧 for good 👋""]",ET-SD,"The creator's narrative fundamentally revolves around discovering herself beyond the constraining work routine in England, questioning her previous life's meaning and seeking a more fulfilling existence.",JN-TE,The transition from a monotonous work life in the UK to a liberating lifestyle in Bali represents a clear transformative journey of personal reinvention.,ET-PM,"By explicitly asking ""Where is the living?"" creator articulating a deep quest to understand her life's purpose beyond traditional work structures. ",DR-VS,"The swimming pool setting in Bali serves as a powerful visual metaphor, contrasting her previous life with her current lifestyle.",,,Pilgrim,Self-actualization,"Self-Actualization Journey is the most profound layer of need the narrative is the existential quest for meaning and articulates a spiritual migration from a mechanistic work existence to a more purposeful, self-directed life path."
2023-11-19,7303117367339437320,7129424700539094021,kl.foodie,https://www.tiktok.com/@7129424700539094021/video/7303117367339437320,"Video-log showcasting the preparation of food for a nomad recsiding in Rantau Panjang in Malaysa. An asian man puts big portions of basmati rice and fried chicken and local souses to the plate in front of the camera. The dish is called Nasi Lemak Burung Hantu and is a popular meal in Malaysa. An asian man is enjoying his food, eating rice and chicken with fingers. A chef is saying in English that the place is open until late at night and welcomes people to come an test  their food. The dialog in the background is in Malay. The captions provides the geolocation of the place, and state that it is muslim owned.",#derantau #digitalnomad #malaysiadigitalnomad,klfoodie,original sound - klfoodie,7142926872781817858,"[muslim owned, free parking, cashless payment system, outdoor seating, clean rest room] ",CA-PC,"A strategic form of digital marketing that seamlessly integrates sponsored material into native content formats. This approach blurs the lines between genuine editorial content and advertising, aiming to engage audiences more effectively than traditional ads. This involves curating one's public persona and emphasizing certain attributes to facilitate positive interactions, ultimately navigating social dynamics in the digital landscape for favorable outcomes.",HE-CE,"Shows an Asian man enjoying food, eating with fingers
Emphasizes the communal and personal experience of eating
Demonstrates cultural intimacy through food consumption",DR-CA,"Background dialog in Malay
Showcasing a traditional Malaysian dish
Geolocation specifics (Rantau Panjang)
Demonstrates genuine cultural representation",TA-DI,Uses specific hashtags for the platform's algorithmic discovery mechanisms,,,Tourist,Basic,"The content focuses enitrely on basic need of tourtist such as food, culinary experiences and cousine through cultural impropriaton"
2023-08-27,7272133700979117354,6678456744718910470,sydneyblandford,https://www.tiktok.com/@6678456744718910470/video/7272133700979117354,"The vlog documents an exhilarating day spent on an Alaskan adventure, highlighting the activity of paddle boarding through Knik Glacier as an exceptionally experience with icy landscapes of the glacier, the physical challenge and thrill of paddle boarding in such a unique environment.",#travel #traveltok #traveldiaries #digitalnomad #travelinginyour20s #bucketlist #remotework #summer #summertravel #bucketlisttravel #glacier #uniqueexperiences #onceinalifetime #helicopter #alaskansummers #visitalaska #alaska #anchoragealaska,sydney blandford,original sound,6807324155571095560,,CA-PC,Promotional Content: Includes sponsored material. Blurs lines between genuine content and advertising.,HE-SA,Sport Activities: Showcases sports or adventure. May glorify risk-taking behaviors.,TA-RL,Relatability: Aims to be relatable. May oversimplify complex experiences for mass appeal.,,,,,Tourist,Esteem,"The content is touching on the need of esteem, such as unique experiences, cultural immersion"
2023-07-06,7252796512256675115,7060687149274629167,hannagetshired,https://www.tiktok.com/@7060687149274629167/video/7252796512256675115,"The woman emotionally elaborates on the financial aspects of home swap service Kinred, membership only with mucompetitve prices copmpared to AirBnb.",#travelhack #europetravel #livekindred #airbnb #homeswap #budgetravel #homeswapping #digitalnomad #digitalnomadlife #traveltiktok #travelbucketlist #greenscreen #greenscreenvideo,hanna gets hired,original sound,7318444979616074542,[Never using AirBnb again] [I just booked a trip to Berling in 3 weeks] [and it was the fifth of the cost of AirBnb],CA-PC,Promotional content with the affilated link to the creator account on Kinred.,JN-EP,Content describes a specific travel booking experience,TA-DI,Native content for TikTok with green screen and extensive usage of hashatgs,,,,,Tourist,Safety,"Discovering a cost-effective alternative to traditional accommodation platforms, embodying the spirit of innovative, budget-conscious travel"
2023-09-08,7276474915459501355,6733737401188074501,thenatashaibrahim,https://www.tiktok.com/@6733737401188074501/video/7276474915459501355,"A woman underscores her independence through solo travel, expressing contentment with her single status and positing that companionship requires surpassing her own standards. The video intersperses images of her in various settings: a gym, a bar, and aboard a plane, with a notable emphasis on her physically fit physique, serving both as a statement of self-empowerment and an invitation for admiration.",#solofemaletravel #digitalnomad #motivation #divinefeminineenergy #girls #20something #selflove #southasian #bipoc, ,original sound,6793584965801052933,['The truth about\nbeing alone'],ET-IC,"Evident in the creator's strong emphasis on self-identity as an independent, single woman",LC-PF,Personal & Spatial Freedom: Emphasizes freedom. Might ignore privileges that enable this lifestyle.,ET-SD,Manifested through solo travel experiences and self-reflection,TA-VA,Strong emphasis on visual presentation through various settings,,,Tourist,Esteem,"The content primarily focuses on unique experiences and personal empowerment through solo travel, while emphasizing self-worth and cultural immersion. The creator uses her journey to demonstrate personal standards and independence, which directly aligns with the esteem-level needs of the Tourist category in the framework."
2023-10-23,7293153201862348037,6924393948643525638,nomadsou,https://www.tiktok.com/@6924393948643525638/video/7293153201862348037,"In a culinary vlog focused on Korea, the presenter poses a genuine inquiry: whether japchae, a traditional Korean dish, is traditionally consumed cold or warm. The vlogger shares a personal experience, noting that although accustomed to eating it warm, trying it cold was a novel experience.",#seoul #korea #southkorea #koreanfood #japchae #livinginkorea #nomad #digitalnomad #nomadsou,julie on the internet,nintendo wii (mii channel) song,7179650193531357957,"['About to eat Japchae at Gwangjang market when suddenly...', '...', 'It was cold 💀', 'Contemplating what to do with it...', ""I don't want to disappoint the old lady selling them 😩""]",HE-CE,"The entire video revolves around the experience of eating japchae, a traditional Korean dish. The vlogger's inquiry about whether japchae is traditionally consumed cold or warm demonstrates a focus on culinary exploration.",JN-TE,"The vlogger's novel experience of trying cold japchae, despite being accustomed to eating it warm, represents a small but significant transformative moment in their culinary journey.",ET-SD,"The content showcases an element of self-discovery as the vlogger navigates the unexpected situation of receiving cold japchae and contemplates how to respond, reflecting on their own preferences and cultural adaptability.",TA-DI,"The use of hashtags like #seoul, #korea, #koreanfood, and #digitalnomad in the video caption demonstrates the creator's effort to make the content discoverable to a wider audience interested in Korean culture and digital nomad experiences.",,,Tourist,Esteem,"The content shows a digital nomad experiencing and learning about authentic Korean food culture through japchae. The confusion about the serving temperature represents a genuine moment of cultural learning and adaptation, which is a key aspect of cultural immersion for tourists and digital nomads exploring Korean cuisine."
2023-06-25,7248690307166915845,6873133835833066497,juan_and_lonely,https://www.tiktok.com/@6873133835833066497/video/7248690307166915845,"The vlog presents an exploration of less conventional and quieter island-hopping destinations in Siargao, Philippines, deliberately bypassing the well-trodden locales of Guyam, Naked, and Daku Island. The vlogger advocates for visits to Corregidor and Mam-on Island as alternatives offering more genuine and unspoiled natural surroundings. The journey commences with a boat trip from General Luna to Mam-on Island, lasting approximately 45 minutes. Despite the duration and potential discomfort of the voyage, the vlogger underscores the importance of eco-responsible travel practices, specifically urging against the disposal of waste, such as bottles, into the ocean.",#siargao #island #tour #afam #foreigners #travel #solotravel #budgettravel #digitalnomad,Juan and Lonely on IG,original sound - Juan and Lonely on IG,7289130857087764481,"['siargao travel siargao travel package siargao foreigners siargao afam video siargao foreigners issue siargao itinerary 2023 best places to stay in siargao siargao accommodation ideas where to eat in siargao \nsiargao human drone nafam boyfriend ', 'corregidor island mam on island siargao ']",CA-TC,Destination promotion content that may contribute to over-tourism issues.,CA-PC,Promotional Content: Includes sponsored material. Blurs lines between genuine content and advertising.,HE-CE,"The content promotes cultural experiences in a less crowded way, moving the streams of tourist to the unexplored places of Philipines",,,,,Tourist,Esteem,"Mainly caters for the tourists needs of esteem, through the cultural experiences and emmersion in new environments."
2023-12-06,7309510960597781793,6812300776481489926,melchekaoui,https://www.tiktok.com/@6812300776481489926/video/7309510960597781793,"A female vlogger displays the large canned cosmetic products that her parents delivered to her in an Ikea bag. Residing in Bali as a digital nomad, she highlights the difficulty of purchasing or importing such items locally, emphasizing the contrast between her current lifestyle and the availability of certain products she's accustomed to.",#haultok #haul #recentpurchases #essentialitems #girlessentials #unboxwithme #unboxinghaul #skincareproducts #balilifestyle #digitalnomad #expatlife,Melissa Chekaoui,original sound,7205251025777920774,[unboxing my bali life care-package ❤️‍🩹],CA-PC,The video indirectly highlights several cosmetic products and the challenges of purchasing these products in Bali.,DR-PSC,The vlogger's use of unboxing format demonstrates a clear understanding of cultural phenomenon: social connection through shared consumption rituals.,ET-IC,"The vlogger is using hashtags #digitalnomad and #expatlife to construct and present her identity as a digital nomad and expat in Bali, reinforcing this narrative.",JN-EP,The unboxing of care package items from the UK represents an episodic nature of creators experiences abroad.,,,Tourist,Safety,"The vlogger addresses her requirements of cosmetic products, importance of personal care and maintaining daily routines while abroad."
